Year,Transect_no,Control,Date,Birds_present,Part_of_transect,Dostance_cat,No_singing_males
2011,TBB01,1,01/06/2011,yes,1,1,1
2011,TBB01,1,01/06/2011,yes,2,1,2
2011,TBB01,1,01/06/2011,yes,3,1,1
2011,TBB01,1,01/06/2011,yes,4,2,2
2011,TBB01,1,01/06/2011,yes,4,3,1
2011,TBB01,1,01/06/2011,yes,5,1,1
2011,TBB01,1,01/06/2011,yes,5,2,2
2011,TBB01,2,04/06/2011,yes,1,2,3
2011,TBB01,2,04/06/2011,yes,1,3,1
2011,TBB01,2,04/06/2011,yes,2,2,1
2011,TBB01,2,04/06/2011,yes,2,3,1
2011,TBB01,2,04/06/2011,yes,3,2,3
2011,TBB01,2,04/06/2011,yes,4,2,2
2011,TBB01,2,04/06/2011,yes,5,1,3
2011,TBB01,3,06/06/2011,yes,1,1,2
2011,TBB01,3,06/06/2011,yes,1,2,2
2011,TBB01,3,06/06/2011,yes,1,3,1
2011,TBB01,3,06/06/2011,no,2,,0
2011,TBB01,3,06/06/2011,yes,3,2,1
2011,TBB01,3,06/06/2011,yes,3,3,1
2011,TBB01,3,06/06/2011,yes,4,2,2
2011,TBB01,3,06/06/2011,yes,4,3,1
2011,TBB01,3,06/06/2011,yes,5,2,3
2011,TBB02,1,06/06/2011,yes,1,2,2
2011,TBB02,1,06/06/2011,no,2,,0
2011,TBB02,1,06/06/2011,yes,3,3,2
2011,TBB02,1,06/06/2011,yes,4,2,2
2011,TBB02,1,06/06/2011,yes,4,3,3
2011,TBB02,1,06/06/2011,yes,5,1,2
2011,TBB02,1,06/06/2011,yes,5,3,1
2011,TBB02,2,07/06/2011,yes,1,2,1
2011,TBB02,2,07/06/2011,yes,1,3,1
2011,TBB02,2,07/06/2011,yes,2,2,1
2011,TBB02,2,07/06/2011,yes,3,1,1
2011,TBB02,2,07/06/2011,yes,3,2,3
2011,TBB02,2,07/06/2011,yes,4,2,1
2011,TBB02,2,07/06/2011,yes,4,3,1
2011,TBB02,2,07/06/2011,yes,5,1,1
2011,TBB02,2,07/06/2011,yes,5,2,2
2011,TBB02,3,08/06/2011,yes,1,2,1
2011,TBB02,3,08/06/2011,yes,2,2,1
2011,TBB02,3,08/06/2011,yes,3,1,1
2011,TBB02,3,08/06/2011,yes,3,2,1
2011,TBB02,3,08/06/2011,yes,4,2,2
2011,TBB02,3,08/06/2011,yes,5,1,2
2011,TBB02,3,08/06/2011,yes,5,2,1
2011,TBB03,1,05/06/2011,no,1,,0
2011,TBB03,1,05/06/2011,yes,2,2,1
2011,TBB03,1,05/06/2011,yes,2,3,1
2011,TBB03,1,05/06/2011,yes,3,3,1
2011,TBB03,1,05/06/2011,no,4,,0
2011,TBB03,1,05/06/2011,no,5,,0
2011,TBB03,2,06/06/2011,yes,1,2,1
2011,TBB03,2,06/06/2011,yes,2,3,1
2011,TBB03,2,06/06/2011,yes,3,3,2
2011,TBB03,2,06/06/2011,no,4,,0
2011,TBB03,2,06/06/2011,no,5,,0
2011,TBB03,3,07/06/2011,yes,1,2,1
2011,TBB03,3,07/06/2011,yes,2,2,2
2011,TBB03,3,07/06/2011,yes,3,3,2
2011,TBB03,3,07/06/2011,no,4,,0
2011,TBB03,3,07/06/2011,no,5,,0
2011,TBB04,1,02/06/2011,yes,1,2,2
2011,TBB04,1,02/06/2011,yes,2,1,1
2011,TBB04,1,02/06/2011,yes,2,2,3
2011,TBB04,1,02/06/2011,yes,2,3,2
2011,TBB04,1,02/06/2011,yes,3,2,2
2011,TBB04,1,02/06/2011,yes,4,2,2
2011,TBB04,1,02/06/2011,yes,5,2,2
2011,TBB04,2,03/06/2011,yes,1,2,2
2011,TBB04,2,03/06/2011,yes,2,2,3
2011,TBB04,2,03/06/2011,yes,3,2,3
2011,TBB04,2,03/06/2011,yes,4,3,1
2011,TBB04,2,03/06/2011,yes,5,1,1
2011,TBB04,2,03/06/2011,yes,5,2,3
2011,TBB04,3,04/06/2011,yes,1,1,1
2011,TBB04,3,04/06/2011,yes,1,2,1
2011,TBB04,3,04/06/2011,yes,2,1,1
2011,TBB04,3,04/06/2011,yes,2,2,3
2011,TBB04,3,04/06/2011,yes,2,3,1
2011,TBB04,3,04/06/2011,yes,3,2,2
2011,TBB04,3,04/06/2011,yes,3,3,1
2011,TBB04,3,04/06/2011,yes,4,2,4
2011,TBB04,3,04/06/2011,yes,5,1,1
2011,TBB04,3,04/06/2011,yes,5,2,1
2011,TBB05,1,06/06/2011,yes,1,1,1
2011,TBB05,1,06/06/2011,yes,1,2,3
2011,TBB05,1,06/06/2011,yes,2,2,1
